KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3
1,4,0.0,0,0.06462303231151616,false,true,false,false
5,4,0.0,0,0.16759960487323017,true,true,false,false
6,4,0.0,0,0.2726063829787234,false,true,false,false
8,4,0.0,0,0.4710526315789474,false,true,true,false
12,4,0.0,0,0.5589331803842845,true,true,false,false
18,4,0.0,0,0.20563471502590674,true,false,false,false
19,4,0.0,0,0.37359022556390975,false,true,false,true
20,4,0.0,0,0.0,true,true,true,false
21,4,0.0,0,0.6792048929663609,true,false,false,false
22,4,0.0,0,0.26916975145425703,false,false,false,true
24,4,0.0,0,0.6771857679241909,false,true,true,true
25,4,0.0,0,0.21008403361344538,true,true,false,true
26,4,0.0,0,0.7638400296241437,false,true,false,true
27,4,0.0,0,0.27911881884227796,true,true,false,false
28,4,0.0,0,0.8679215058069684,false,false,false,true
29,4,0.0,0,0.23504551365409623,false,false,true,true
33,4,0.0,0,0.5840336134453782,false,true,false,false
34,4,0.0,0,0.4437318990484071,true,false,false,true
35,4,0.0,0,0.7030984442410773,false,true,false,false
36,4,0.0,0,0.25828220858895706,true,false,true,false
38,4,0.0,0,0.45218228498074453,true,true,false,false
40,4,0.0,0,0.40077821011673154,true,false,true,false
41,4,0.0,0,0.8,true,false,false,false
45,4,0.0,0,0.08813808299669482,true,true,true,false
46,4,0.0,0,0.5037385765715868,true,true,false,false
47,4,0.0,0,0.2572259002099144,false,true,false,true
48,4,0.0,0,0.5724911070389135,false,true,true,false
50,4,0.0,0,0.9846627152130962,true,false,false,true
53,4,0.0,0,0.043596730245231606,false,false,true,true
54,4,0.0,0,0.6888756692444973,true,false,false,false
55,4,0.0,0,0.20988851187590887,true,true,false,true
56,4,0.0,0,0.3964981643603502,false,true,true,false
58,4,0.0,0,0.40166046378471226,false,false,true,false
59,4,0.0,0,0.44496746504222623,true,true,true,false
62,4,0.0,0,0.2767958950969213,true,false,false,true
66,4,0.0,0,0.37044505257093474,true,true,false,false
67,4,0.0,0,0.22802734375,true,false,false,true
75,4,0.0,0,0.5833572453371593,false,true,true,true
77,4,0.0,0,0.2432833605462372,true,true,true,false
78,4,0.0,0,0.156121045392022,true,true,false,true
80,4,0.0,0,0.824410163339383,false,false,true,false
84,4,0.0,0,0.23247232472324722,false,true,false,false
86,4,0.0,0,0.6995255041518387,false,true,false,true
87,4,0.0,0,0.39442970822281165,false,false,false,true
89,4,0.0,0,0.3153618906942393,false,true,false,false
93,4,0.0,0,0.7615131578947368,false,false,false,true
94,4,0.0,0,0.12705667276051189,true,false,false,true
96,4,0.0,0,0.22244205765969474,true,true,false,true
97,4,0.0,0,0.08982734484367709,true,true,false,false
98,4,0.0,0,0.20481283422459892,false,false,true,false
99,4,0.0,0,0.43048202842017275,false,true,true,true
100,4,0.0,0,0.2856088560885609,false,false,false,true
101,4,0.0,0,0.05459863503412415,false,true,true,true
103,4,0.0,0,0.9249970906551844,false,false,false,true
105,4,0.0,0,0.42845870594423985,false,true,false,false
106,4,0.0,0,0.23863103609939054,false,true,true,false
108,4,0.0,0,0.21854748603351956,true,false,true,false
110,4,0.0,0,0.24228896103896103,false,false,true,false
112,4,0.0,0,0.592191989183708,false,false,true,false
113,4,0.0,0,0.04607415485278081,false,true,false,true
115,4,0.0,0,0.2582372322899506,true,true,true,false
116,4,0.0,0,0.5502519596864501,true,false,true,false
117,4,0.0,0,0.45424107142857145,false,false,false,true
122,4,0.0,0,0.26609063657203313,true,false,true,false
123,4,0.0,0,0.4155391961798647,true,false,true,true
124,4,0.0,0,0.7241379310344828,true,false,false,false
125,4,0.0,0,0.2829403606102635,false,true,false,true
127,4,0.0,0,0.6395906909354342,false,true,false,true
128,4,0.0,0,0.3181424862993943,false,false,true,false
129,4,0.0,0,0.6382670676021829,false,true,false,true
130,4,0.0,0,0.06212920237310481,true,false,true,true
133,4,0.0,0,0.4650491045638359,false,true,false,true
134,4,0.0,0,0.27355692448094915,false,true,true,false
135,4,0.0,0,0.10020703933747412,true,true,false,true
136,4,0.0,0,0.22534013605442177,false,false,true,true
137,4,0.0,0,0.31426869228477805,true,true,true,false
138,4,0.0,0,0.43426943426943426,false,false,true,false
146,4,0.0,0,0.021916530659827467,false,false,true,true
149,4,0.0,0,0.28563084112149534,false,false,true,false
151,4,0.0,0,0.16445444319460067,true,false,true,true
152,4,0.0,0,0.3730022831050228,false,false,true,false
153,4,0.0,0,0.7355233853006682,true,true,false,false
154,4,0.0,0,0.023462783171521034,true,true,false,false
155,4,0.0,0,0.08165374677002583,true,true,false,false
159,4,0.0,0,0.1505039972193257,false,true,false,false
161,4,0.0,0,0.9583333333333334,true,false,false,false
164,4,0.0,0,0.05890570430733411,false,true,true,false
165,4,0.0,0,0.25578168362627196,true,true,false,false
166,4,0.0,0,0.742403450303862,false,true,false,false
167,4,0.0,0,0.4430904848327716,true,false,true,false
170,4,0.0,0,0.16894824707846412,false,false,true,false
171,4,0.0,0,0.27861579414374443,false,false,true,false
175,4,0.0,0,0.4309462915601023,true,false,true,false
176,4,0.0,0,0.01086443079829948,false,true,true,false
184,4,0.0,0,0.0710810239052253,true,false,true,true
186,4,0.0,0,0.6086791016368481,true,true,false,false
192,4,0.0,0,0.07117631078511275,false,true,true,false
194,4,0.0,0,0.0766223612197029,false,false,false,true
196,4,0.0,0,0.3089205137105172,true,false,false,true
200,4,0.0,0,0.1743247006404901,true,false,false,true
202,4,0.0,0,0.64,false,true,false,false
205,4,0.0,0,0.4702637889688249,true,false,false,false
208,4,0.0,0,0.3800186741363212,false,true,false,false
209,4,0.0,0,0.036207540126913025,true,true,false,true
210,4,0.0,0,0.09233791748526522,false,false,false,true
211,4,0.0,0,0.3389646956898419,false,true,false,true
213,4,0.0,0,0.5053105889925974,true,false,false,false
214,4,0.0,0,0.6107235142118863,true,true,false,true
217,4,0.0,0,0.10483042137718397,false,true,false,false
218,4,0.0,0,0.08420473307649973,false,false,true,false
219,4,0.0,0,0.6699629171817059,false,false,true,false
220,4,0.0,0,0.22645502645502646,true,true,false,false
221,4,0.0,0,0.9800990218572636,true,false,false,true
223,4,0.0,0,0.23802216538789428,true,true,false,true
224,4,0.0,0,0.6068347710683477,false,true,false,false
225,4,0.0,0,0.03807303807303807,false,true,true,false
226,4,0.0,0,0.7692177159341592,true,false,false,false
227,4,0.0,0,0.8695496783416726,true,false,false,false
228,4,0.0,0,0.5628061743229503,true,true,true,false
231,4,0.0,0,0.390125173852573,true,false,true,true
232,4,0.0,0,0.08409785932721713,true,true,true,false
236,4,0.0,0,0.6874708896134141,false,true,false,false
237,4,0.0,0,0.2957249889819304,true,false,false,false
240,4,0.0,0,0.871420755061098,false,false,true,false
243,4,0.0,0,0.17401129943502824,false,false,false,true
244,4,0.0,0,0.0,false,true,false,false
246,4,0.0,0,0.22040719696969696,false,false,true,true
248,4,0.0,0,0.42615943577687543,false,true,false,true
250,4,0.0,0,0.40007464079119237,true,false,false,true
254,4,0.0,0,0.6189889025893958,false,false,false,true
256,4,0.0,0,0.3534586165533786,false,true,true,true
259,4,0.0,0,0.2244359097455593,true,true,false,false
263,4,0.0,0,0.37429048414023375,true,true,true,false
265,4,0.0,0,0.3960149439601494,false,true,true,false
266,4,0.0,0,0.23283983849259757,false,true,false,false
267,4,0.0,0,0.30276639344262296,false,true,false,true
268,4,0.0,0,0.28184800437397484,false,true,false,true
269,4,0.0,0,0.206880301602262,false,true,true,true
270,4,0.0,0,0.06782945736434108,true,true,false,false
272,4,0.0,0,0.24819734345351044,false,true,false,true
273,4,0.0,0,0.3372594082160299,false,true,true,false
274,4,0.0,0,0.17181340341655715,true,false,false,true
275,4,0.0,0,0.2727272727272727,false,false,true,true
278,4,0.0,0,0.7012310606060606,false,true,false,false
280,4,0.0,0,0.19923371647509577,false,true,true,false
281,4,0.0,0,0.6553761323355651,false,false,true,false
282,4,0.0,0,0.4666360926393029,false,true,false,false
283,4,0.0,0,0.33075396825396824,true,false,true,false
287,4,0.0,0,0.08326787117046347,false,false,true,true
291,4,0.0,0,0.2377003869541183,false,false,false,true
293,4,0.0,0,0.18093249826026445,false,false,true,true
