KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3
1,4,0.0,0,0.0,false,true,false,false
2,4,0.0,0,0.0,false,true,true,false
3,4,0.0,0,0.0,false,false,false,false
4,4,0.0,0,0.0,true,false,false,false
5,4,0.0,0,0.0,false,true,false,true
6,4,0.0,0,0.0,false,true,false,false
7,4,0.0,0,0.0,true,true,false,true
8,4,0.0,0,0.0,false,true,true,false
9,4,0.0,0,0.0,true,false,true,true
10,4,0.0,0,0.0,true,false,false,false
11,4,0.0,0,0.0,true,true,true,false
12,4,0.0,0,0.0,true,true,false,false
13,4,0.0,0,0.0,true,true,false,true
14,4,0.0,0,0.0,true,false,true,true
15,4,0.0,0,0.0,true,true,false,false
16,4,0.0,0,0.0,true,true,false,false
17,4,0.0,0,0.0,false,false,false,false
18,4,0.0,0,0.0,true,false,false,false
19,4,0.0,0,0.0,false,true,false,true
20,4,0.0,0,0.0,true,true,true,false
21,4,0.0,0,0.0,true,false,false,false
22,4,0.0,0,0.0,false,false,false,true
23,4,0.0,0,0.0,true,true,true,false
24,4,0.0,0,0.0,false,true,true,true
25,4,0.0,0,0.0,true,true,false,true
26,4,0.0,0,0.0,false,true,false,true
27,4,0.0,0,0.0,true,true,false,false
28,4,0.0,0,0.0,false,false,false,true
29,4,0.0,0,0.0,true,false,false,true
30,4,0.0,0,0.0,true,true,false,true
31,4,0.0,0,0.0,true,false,true,true
32,4,0.0,0,0.0,true,false,true,true
33,4,0.0,0,0.0,false,true,false,false
34,4,0.0,0,0.0,true,false,false,true
35,4,0.0,0,0.0,true,false,false,false
36,4,0.0,0,0.0,true,false,true,false
37,4,0.0,0,0.0,false,false,false,false
38,4,0.0,0,0.0,true,true,false,false
39,4,0.0,0,0.0,false,true,true,true
40,4,0.0,0,0.0,true,false,true,false
41,4,0.0,0,0.0,true,false,false,false
42,4,0.0,0,0.0,false,true,false,true
43,4,0.0,0,0.0,true,true,false,false
44,4,0.0,0,0.0,false,true,true,true
45,4,0.0,0,0.0,true,true,true,false
46,4,0.0,0,0.0,true,true,false,false
47,4,0.0,0,0.0,false,false,true,true
48,4,0.0,0,0.0,false,true,true,false
49,4,0.0,0,0.0,false,false,false,false
50,4,0.0,0,0.0,true,false,false,true
51,4,0.0,0,0.0,false,false,false,false
52,4,0.0,0,0.0,true,true,false,true
53,4,0.0,0,0.0,false,false,true,true
54,4,0.0,0,0.0,true,false,false,false
55,4,0.0,0,0.0,true,false,true,true
56,4,0.0,0,0.0,true,false,true,false
57,4,0.0,0,0.0,false,true,true,false
58,4,0.0,0,0.0,false,false,true,false
59,4,0.0,0,0.0,true,false,false,true
60,4,0.0,0,0.0,false,false,true,true
61,4,0.0,0,0.0,false,false,false,false
62,4,0.0,0,0.0,true,false,false,true
63,4,0.0,0,0.0,true,false,false,false
64,4,0.0,0,0.0,true,true,true,false
65,4,0.0,0,0.0,true,true,false,true
66,4,0.0,0,0.0,true,true,false,false
67,4,0.0,0,0.0,true,false,false,true
68,4,0.0,0,0.0,true,false,true,true
69,4,0.0,0,0.0,false,false,false,false
70,4,0.0,0,0.0,true,true,false,true
71,4,0.0,0,0.0,true,false,false,true
72,4,0.0,0,0.0,true,false,true,true
73,4,0.0,0,0.0,true,false,true,false
74,4,0.0,0,0.0,false,false,false,false
75,4,0.0,0,0.0,false,true,true,true
76,4,0.0,0,0.0,false,false,true,true
77,4,0.0,0,0.0,true,true,true,false
78,4,0.0,0,0.0,true,true,false,true
79,4,0.0,0,0.0,true,false,true,true
80,4,0.0,0,0.0,false,false,true,false
81,4,0.0,0,0.0,true,true,false,false
82,4,0.0,0,0.0,true,false,true,true
83,4,0.0,0,0.0,false,false,false,false
84,4,0.0,0,0.0,false,true,false,false
85,4,0.0,0,0.0,true,true,true,false
86,4,0.0,0,0.0,false,true,false,true
87,4,0.0,0,0.0,false,false,false,true
88,4,0.0,0,0.0,true,false,false,false
89,4,0.0,0,0.0,false,true,false,false
90,4,0.0,0,0.0,true,true,false,true
91,4,0.0,0,0.0,true,true,false,true
92,4,0.0,0,0.0,false,true,true,true
93,4,0.0,0,0.0,false,false,false,true
94,4,0.0,0,0.0,true,false,false,true
95,4,0.0,0,0.0,true,false,true,true
96,4,0.0,0,0.0,true,true,false,true
97,4,0.0,0,0.0,true,true,false,false
98,4,0.0,0,0.0,false,false,true,false
99,4,0.0,0,0.0,false,true,true,true
100,4,0.0,0,0.0,false,false,false,true
101,4,0.0,0,0.0,false,true,true,true
102,4,0.0,0,0.0,false,true,true,false
103,4,0.0,0,0.0,false,false,false,true
104,4,0.0,0,0.0,false,true,false,true
105,4,0.0,0,0.0,false,true,false,false
106,4,0.0,0,0.0,false,true,true,false
107,4,0.0,0,0.0,true,false,false,true
108,4,0.0,0,0.0,true,false,true,false
109,4,0.0,0,0.0,true,true,true,false
110,4,0.0,0,0.0,false,false,true,false
111,4,0.0,0,0.0,false,true,true,true
112,4,0.0,0,0.0,false,false,true,false
113,4,0.0,0,0.0,false,true,false,true
114,4,0.0,0,0.0,true,false,true,true
115,4,0.0,0,0.0,true,true,true,false
116,4,0.0,0,0.0,true,false,true,false
117,4,0.0,0,0.0,false,false,false,true
118,4,0.0,0,0.0,false,false,false,false
119,4,0.0,0,0.0,false,true,false,true
120,4,0.0,0,0.0,false,true,true,false
121,4,0.0,0,0.0,true,true,true,false
122,4,0.0,0,0.0,true,false,true,false
123,4,0.0,0,0.0,true,false,true,true
124,4,0.0,0,0.0,true,false,false,false
125,4,0.0,0,0.0,false,true,false,true
126,4,0.0,0,0.0,false,false,false,false
127,4,0.0,0,0.0,true,false,false,true
128,4,0.0,0,0.0,false,false,true,false
129,4,0.0,0,0.0,false,true,false,true
