KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21
1,22,0.0,0,0.0,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false
2,22,0.0,0,3.257682701704854E-4,true,false,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,false,false
3,22,0.0,0,5.023863350916855E-5,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,false,true,false,true
4,22,0.0,0,2.789400278940028E-4,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true
5,22,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true
6,22,0.0,0,0.0,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,false,true,true,true,true,false
7,22,0.0,0,6.45647261379533E-4,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,false,true,true,false
8,22,0.015625,0,0.0,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false,false,false,true,true,true,true
9,22,0.0,0,1.0196798205363516E-4,false,true,true,true,true,false,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true
10,22,0.0,0,3.30922327802203E-4,true,true,true,true,true,true,true,true,false,false,true,true,true,false,false,false,true,true,false,true,true,true
11,22,0.0,0,1.0430791697089809E-4,true,true,true,true,true,false,true,true,false,true,false,true,true,false,true,true,false,true,true,true,true,true
12,22,0.0,0,4.610206998294223E-5,true,false,true,true,true,true,true,true,false,true,false,true,false,true,true,true,false,true,true,true,true,false
13,22,0.0,0,2.3639544229587254E-4,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,false,true,true,true,true,true
14,22,0.0,0,5.270647762610025E-5,true,true,false,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true
15,22,0.0,0,0.0,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true
16,22,0.0,0,0.0,false,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true
17,22,0.0,0,6.314792401199811E-4,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,false,true,true,true,true,true
18,22,0.0,0,0.0,true,true,true,true,false,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true,true,true
19,22,0.0,0,0.0,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true
20,22,0.0,0,0.0,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true
21,22,0.0,0,6.571630775452431E-4,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,false,true,true,true,true,true,false
22,22,0.0,0,0.0,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true
23,22,0.0,0,0.0,false,true,true,true,false,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true
24,22,0.0,0,0.0,false,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,true,false
25,22,0.0,0,5.934365913002195E-4,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,true,true,true,false,true
26,22,0.0,0,0.0,true,true,false,false,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false
27,22,0.0,0,0.0,true,true,true,true,true,false,true,false,true,true,true,true,false,false,true,false,true,true,true,true,true,false
28,22,0.0,0,0.0,true,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true
29,22,0.0,0,3.3668144324112005E-4,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true
30,22,0.0,0,0.0,false,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true,true,true
31,22,0.015625,0,3.887835933323614E-4,true,true,true,true,true,true,false,true,true,false,false,true,true,false,false,true,true,true,true,true,true,false
32,22,0.0,0,2.164619297581038E-4,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true
33,22,0.0,0,0.0,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false
34,22,0.0,0,1.774701628288744E-4,false,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
35,22,0.0,0,0.0,true,true,true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true
36,22,0.0,0,2.144082332761578E-4,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true
37,22,0.0,0,1.5680535228935815E-4,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true
38,22,0.0,0,0.0,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
39,22,0.0,0,0.0,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
40,22,0.0,0,3.9556962025316455E-4,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true
41,22,0.0,0,3.820256912277351E-4,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,false,true
42,22,0.0,0,0.0,true,true,true,true,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true,true,true,false
43,22,0.0,0,1.5348408881612607E-4,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,true,true,false,true
44,22,0.0,0,2.4276558555059235E-4,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,false,true,true,true,false,true,true
45,22,0.0,0,3.9379768643859215E-4,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,false,false,true
46,22,0.0,0,0.0,true,true,true,true,true,true,true,false,true,false,true,false,true,true,false,true,false,true,true,true,true,true
47,22,0.0,0,2.3094688221709007E-4,true,true,false,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true
48,22,0.0,0,4.0652242648719455E-4,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,false,true
49,22,0.0,0,9.92685475444096E-4,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,false,true
50,22,0.0,0,3.194547971462038E-4,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,false,true,false
51,22,0.0,0,9.161284412074573E-5,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,false,false,true,true
52,22,0.0,0,2.3276112889147513E-4,true,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,false,true
53,22,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,false,true,false
54,22,0.0,0,1.4844136566056408E-4,true,true,true,true,true,false,true,true,true,false,true,false,true,false,true,true,false,false,true,true,true,true
55,22,0.0,0,0.0,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true
56,22,0.0,0,1.9912385503783353E-4,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false
57,22,0.0,0,0.0,false,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true
58,22,0.0,0,4.0412204485754696E-4,true,false,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,false
59,22,0.0,0,0.0,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true
60,22,0.0,0,5.455266812140449E-4,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,false
61,22,0.0,0,2.49513448774889E-4,false,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,false
62,22,0.0,0,6.265991332045324E-4,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,false,true,true,true
63,22,0.0,0,2.468221646303838E-4,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,false,false,true,false
64,22,0.0,0,0.0,false,true,true,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true
65,22,0.0,0,0.0,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,true,true
66,22,0.015625,0,5.83487309151026E-4,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false
67,22,0.0,0,3.834172058471124E-4,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false
68,22,0.0,0,0.0,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,false,true,false,false
69,22,0.0,0,0.0,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true
70,22,0.0,0,4.089143324473523E-4,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,false
71,22,0.0,0,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false,true
72,22,0.0,0,5.752746936662256E-5,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false
73,22,0.0,0,0.0,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true
74,22,0.0,0,1.99990000499975E-4,true,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false
75,22,0.0,0,0.0,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true
76,22,0.0,0,0.0,true,false,true,false,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true
77,22,0.0,0,0.0,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,true,false
78,22,0.0,0,0.0,false,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true
79,22,0.015625,0,2.845354958031014E-4,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,false
80,22,0.0,0,3.286410691789451E-4,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false
