KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9
1,10,0.0,122,false,true,false,true,false,true,false,false,true,false
2,10,0.0,4,false,false,false,false,false,false,false,false,false,true
3,10,0.0,512,true,true,true,true,true,false,true,true,true,true
4,10,0.0,505,true,true,true,false,true,true,true,true,true,true
5,10,0.0,411,true,true,false,true,true,false,true,false,false,true
6,10,0.0,317,true,true,false,true,true,false,true,false,true,true
7,10,0.0,471,true,true,true,true,false,false,true,true,true,true
8,10,0.0,388,false,true,false,true,true,false,false,true,true,true
9,10,0.0,20,true,false,false,false,false,false,true,true,false,false
10,10,0.0,437,true,false,true,true,true,false,false,false,true,true
11,10,0.0,64,true,true,false,false,false,false,false,true,false,true
12,10,0.0,22,true,false,false,true,true,false,false,false,false,true
13,10,0.0,223,false,false,true,true,true,false,true,false,true,false
14,10,0.0,399,true,false,true,true,false,false,true,true,false,true
15,10,0.0,41,false,false,false,false,false,false,true,true,true,false
16,10,0.0,5,true,false,true,false,false,false,false,false,false,true
17,10,0.0,494,true,true,true,true,true,true,true,false,true,true
18,10,0.0,129,false,false,true,true,true,false,false,true,false,false
19,10,0.0,218,false,true,true,false,false,true,false,true,false,true
20,10,0.0,512,true,true,true,true,true,true,false,true,true,true
21,10,0.0,6,false,false,false,false,false,false,false,false,true,false
22,10,0.0,123,true,false,true,false,true,false,true,false,true,true
23,10,0.0,156,false,true,true,false,false,true,true,false,true,true
24,10,0.0,406,false,true,false,true,false,true,true,true,true,true
25,10,0.0,478,false,true,true,false,true,true,true,false,true,true
26,10,0.0,467,false,true,true,false,true,true,true,false,false,true
27,10,0.0,19,false,true,false,true,false,false,false,false,true,false
28,10,0.0,1,false,false,false,false,false,false,false,false,false,true
29,10,0.0,489,true,true,true,false,true,false,true,true,true,true
30,10,0.0,496,true,true,true,true,true,false,true,true,false,true
31,10,0.0,512,true,true,false,true,true,true,true,true,true,true
32,10,0.0,39,true,false,true,false,false,false,true,true,false,false
33,10,0.0,512,true,true,true,true,true,true,true,true,true,false
34,10,0.0,468,false,true,false,true,true,true,false,false,true,true
35,10,0.0,331,false,true,false,true,true,true,false,false,true,true
