KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26
1,27,0.0,0,1.1251547087724562E-4,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true
2,27,0.015625,0,0.0,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,27,0.0,0,0.0,true,false,true,false,true,true,false,true,true,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,true,false,false
4,27,0.0,0,0.0,true,false,true,true,true,true,true,false,false,false,true,false,false,false,false,true,true,false,false,false,true,true,false,true,true,true,true
5,27,0.0,0,0.0,false,false,false,false,true,false,false,true,false,false,false,true,true,true,false,false,true,false,true,true,true,false,true,false,false,false,false
6,27,0.015625,0,0.0,false,true,true,false,false,true,false,false,true,true,true,true,false,true,true,true,false,false,true,false,true,true,true,false,true,true,true
7,27,0.0,0,0.0,false,true,false,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
8,27,0.0,0,0.0,false,false,true,false,true,false,false,false,true,true,true,true,false,false,true,false,false,false,false,true,true,true,true,true,true,false,false
9,27,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
10,27,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,false,true,false
11,27,0.0,0,0.0,false,true,false,true,true,false,true,true,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,true
12,27,0.0,0,0.0,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
13,27,0.0,0,0.0,false,false,false,true,true,true,false,true,true,false,false,false,true,true,true,false,false,false,true,true,false,true,false,true,true,true,true
14,27,0.0,0,0.0,true,true,true,false,false,true,true,true,false,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true
15,27,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
16,27,0.0,0,0.0,true,true,false,true,true,false,true,false,false,true,true,false,true,true,true,false,true,false,true,false,false,true,true,false,false,false,false
17,27,0.0,0,0.0,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,false
18,27,0.0,0,0.0,false,true,false,false,true,false,true,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,true,true
19,27,0.0,0,0.0,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
20,27,0.0,0,0.0,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false
21,27,0.0,0,0.0,true,true,true,false,false,false,true,false,false,true,false,true,false,false,true,true,false,true,true,false,true,true,true,false,false,false,false
22,27,0.0,0,0.0,true,true,true,true,true,true,true,false,false,false,true,true,false,false,false,true,true,false,true,false,true,true,true,true,false,true,false
23,27,0.0,0,0.0,false,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false
24,27,0.0,0,3.504345388281469E-5,true,true,true,true,true,true,false,false,true,true,false,true,false,true,false,true,false,true,false,false,false,true,true,true,false,true,false
25,27,0.0,0,0.0,true,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,false,false,true,false,true
26,27,0.0,0,0.0,true,true,true,true,true,true,false,true,true,false,true,false,false,true,false,true,true,false,false,true,false,true,true,false,false,true,true
27,27,0.0,0,0.0,true,true,false,true,true,true,false,false,true,true,false,true,false,false,false,true,false,true,false,true,false,false,false,true,true,true,false
28,27,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
29,27,0.0,0,0.0,false,false,true,true,false,true,false,true,false,true,false,false,true,true,false,true,false,true,false,true,false,false,false,true,true,false,true
30,27,0.0,0,0.0,true,false,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true
31,27,0.0,0,0.0,true,true,true,false,true,false,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,false,true,true,false
32,27,0.0,0,0.0,false,true,false,true,false,false,false,false,true,true,false,true,false,true,false,false,true,false,true,true,true,false,true,false,true,true,true
33,27,0.0,0,0.0,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true
34,27,0.0,0,0.0,true,true,true,false,true,true,false,true,false,false,true,true,true,true,true,false,false,false,true,true,true,true,true,false,true,true,false
35,27,0.0,0,0.0,false,true,true,false,true,false,true,true,false,false,false,true,false,true,false,false,false,false,false,true,true,false,true,false,false,true,false
36,27,0.0,0,0.0,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,false,false,true,true,false,false
37,27,0.0,0,0.0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false
38,27,0.0,0,0.0,true,true,true,false,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false
39,27,0.0,0,0.0,true,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,false,true,true,false,true,true,true,true,true,true,true
40,27,0.0,0,0.0,false,true,false,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false
41,27,0.0,0,0.0,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,false,true,false,true,true,true,true
42,27,0.0,0,0.0,false,false,false,true,true,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,true
43,27,0.015625,0,0.0,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true
44,27,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
45,27,0.0,0,0.0,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,false,true,true,true,false,true,false,false,true,true
46,27,0.0,0,0.0,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
47,27,0.0,0,0.0,false,false,false,false,true,true,true,false,true,false,true,true,true,false,true,true,false,true,true,true,false,true,false,true,true,false,false
48,27,0.0,0,0.0,true,false,true,true,false,false,false,true,false,false,true,false,true,true,true,false,false,true,true,true,true,false,false,false,false,true,true
49,27,0.0,0,0.0,false,true,true,true,true,true,true,true,false,true,false,true,false,true,true,false,false,true,false,true,true,true,true,true,true,false,true
50,27,0.0,0,0.0,false,true,true,true,false,true,true,true,true,false,false,true,true,true,false,false,true,true,false,true,true,false,false,true,false,true,true
51,27,0.0,0,0.0,true,false,true,true,true,true,false,true,false,false,true,true,false,false,true,false,false,true,true,false,true,true,false,true,false,false,true
52,27,0.0,0,0.0,true,false,false,true,true,true,true,false,false,false,false,true,false,false,true,true,true,true,true,false,true,false,false,true,false,true,true
53,27,0.015625,0,0.0,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
54,27,0.0,0,0.0,false,false,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true,true,true
55,27,0.0,0,0.0,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true
56,27,0.0,0,0.0,true,true,false,true,false,false,true,false,false,false,true,false,false,false,false,true,false,true,true,false,true,true,false,true,false,true,true
57,27,0.0,0,0.0,false,false,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,false,true,false,false,true,true,false,false
58,27,0.0,0,0.0,false,true,true,false,false,false,true,true,false,true,false,true,true,false,false,true,false,false,true,true,false,false,true,false,true,true,false
59,27,0.0,0,0.0,false,false,false,false,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,false,false,true,false,false,false,true
60,27,0.0,0,0.0,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,false,true,false,true,false,false,true,false,true,false
61,27,0.0,0,0.0,false,false,false,true,true,false,false,false,true,false,false,false,true,true,false,false,false,false,true,false,true,false,false,true,false,true,true
62,27,0.015625,0,0.0,true,false,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,false,false,true,false,true,false,false,true,true
63,27,0.0,0,0.0,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
64,27,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
65,27,0.0,0,0.0,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,false,true,false,false,true,true,true,true,true,false,true
66,27,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,false,true,true,true,true,false,true,true,true,true
67,27,0.0,0,0.0,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true
68,27,0.0,0,0.0,false,false,false,true,false,true,true,false,true,true,true,false,false,true,true,false,true,true,false,false,true,false,true,true,false,true,true
69,27,0.0,0,0.0,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true
70,27,0.0,0,0.0,true,false,false,false,false,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true,false,true
71,27,0.0,0,0.0,false,false,true,true,true,false,true,false,false,true,true,true,false,false,false,true,false,true,false,true,false,false,true,false,true,true,true
72,27,0.0,0,0.0,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true
73,27,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
74,27,0.0,0,0.0,true,true,true,false,false,false,false,true,true,true,false,false,false,false,false,true,true,true,true,false,false,true,false,true,true,true,true
75,27,0.0,0,0.0,false,true,false,true,false,false,false,true,true,false,false,true,true,true,false,true,true,true,true,false,false,false,false,false,false,true,true
76,27,0.0,0,0.0,false,false,true,false,false,true,true,false,false,true,false,true,false,true,true,false,false,false,true,false,false,true,true,true,false,false,true
77,27,0.0,0,0.0,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
78,27,0.0,0,0.0,false,true,false,true,false,false,true,false,false,true,false,false,true,true,false,false,true,false,false,false,false,false,true,true,true,true,false
79,27,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true
80,27,0.0,0,0.0,true,true,true,false,false,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
81,27,0.0,0,0.0,true,true,false,true,true,true,true,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,true
82,27,0.0,0,0.0,true,true,true,true,false,true,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true
83,27,0.015625,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true
84,27,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
85,27,0.0,0,0.0,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false,false
86,27,0.0,0,1.3984547075481592E-4,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
87,27,0.0,0,0.0,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
88,27,0.0,0,0.0,true,true,false,false,true,true,true,true,false,false,false,false,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true
89,27,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
90,27,0.0,0,0.0,true,true,false,true,false,false,false,true,false,true,false,false,false,false,false,true,true,true,false,false,true,false,true,false,true,true,false
91,27,0.0,0,0.0,false,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false
92,27,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true
93,27,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,false,false,true
94,27,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true
95,27,0.0,0,0.0,true,true,false,true,false,true,true,false,false,true,true,false,false,false,true,false,true,true,false,false,true,true,false,true,false,true,false
96,27,0.015625,0,0.0,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
97,27,0.0,0,0.0,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false
98,27,0.0,0,0.0,false,false,true,false,true,true,false,false,true,true,false,false,false,true,true,false,false,true,true,true,false,true,true,true,false,true,true
99,27,0.0,0,0.0,true,false,false,false,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
100,27,0.0,0,0.0,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,true,true,true
101,27,0.0,0,0.0,false,true,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false
