KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19
1,20,0.0,0,0.03629712999437254,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true
2,20,0.0,0,0.03840245775729647,false,false,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true
3,20,0.0,0,0.07759981953530341,false,false,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true
4,20,0.0,0,0.0,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true
5,20,0.0,0,0.07810786821907795,true,false,true,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true
6,20,0.0,0,0.01266162347765438,true,true,true,true,false,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true
7,20,0.0,0,0.06565051093223725,true,false,true,false,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true
8,20,0.0,0,0.06894939208147148,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,false
9,20,0.0,0,0.06154005274861664,true,true,true,false,false,true,true,true,false,false,true,true,true,false,true,true,true,true,true,false
10,20,0.0,0,0.03753604193971166,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
11,20,0.0,0,0.02267250821467689,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,false,true,true,true,false
12,20,0.0,0,0.024539877300613498,true,true,true,true,false,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true
13,20,0.0,0,0.07047265801212972,true,true,false,true,true,true,true,true,true,false,false,false,true,false,true,true,true,false,true,true
14,20,0.0,0,0.038494809688581315,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true,false,true,true,true
15,20,0.0,0,0.09678364286132755,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,false
16,20,0.0,0,0.07070581662424731,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,false
17,20,0.0,0,0.019683328158956844,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true
18,20,0.0,0,0.029841098841906815,true,true,true,true,true,false,true,true,true,false,false,true,false,true,true,false,true,true,true,true
19,20,0.0,0,0.01108817457976998,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true
20,20,0.0,0,0.012705194513154936,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true
21,20,0.0,0,0.0,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true
22,20,0.0,0,0.04592991254357531,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false
23,20,0.0,0,0.0990743914981145,true,true,true,true,true,true,false,false,false,true,true,true,true,false,true,true,true,true,true,false
