KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19
386,20,0.0,0,0.06326963906581741,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
1410,20,0.0,0,0.0,false,true,false,false,false,true,false,true,false,true,true,false,false,false,true,false,false,false,false,false
261,20,0.0,0,0.019040697674418603,true,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,true,true,true,false
389,20,0.0,0,0.0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1285,20,0.0,0,0.17904993909866018,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false
1542,20,0.0,0,0.0,true,false,false,true,true,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false
775,20,0.0,0,0.045866255540566586,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false
1418,20,0.0,0,0.05539526832083093,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false
1674,20,0.0,0,0.2627627627627628,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
908,20,0.0,0,0.0,false,false,true,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,false
1421,20,0.0,0,0.0,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,true,false
782,20,0.0,0,0.35714285714285715,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false
273,20,0.0,0,0.41172638436482084,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
913,20,0.0,0,0.24268629254829807,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
530,20,0.0,0,0.0,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,true,false,true,false,false
147,20,0.0,0,0.10454985479186835,true,true,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false
1939,20,0.0,0,0.07749766573295985,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false
665,20,0.0,0,0.01955340977670489,false,true,false,false,true,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false
1177,20,0.0,0,0.25,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false
1689,20,0.0,0,0.0977587029089175,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
796,20,0.0,0,0.15815485996705106,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false
924,20,0.0,0,0.2514259639516313,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
541,20,0.0,0,0.01567047235280949,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,true,false
1054,20,0.0,0,0.3934520390580126,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false
673,20,0.0,0,0.2994979262169832,false,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false
676,20,0.0,0,2.098635886673662E-4,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false
1956,20,0.0,0,0.26302667663924206,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false
1317,20,0.0,0,0.0,false,true,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false
426,20,0.0,0,0.0,false,true,true,false,true,false,false,false,false,true,false,false,false,true,false,false,true,true,false,false
810,20,0.0,0,0.07912875654811138,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false
1323,20,0.0,0,0.5713700593897194,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
1708,20,0.0,0,0.0,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false
1836,20,0.0,0,0.0,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false
1070,20,0.0,0,0.019205869659041863,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
689,20,0.0,0,0.17526132404181186,false,true,true,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false
1969,20,0.0,0,0.29406986190089357,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
178,20,0.0,0,0.4041095890410959,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
1202,20,0.0,0,0.3332066869300912,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
1587,20,0.0,0,0.760458452722063,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
317,20,0.0,0,0.23855057876195268,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
1087,20,0.0,0,0.24576830072543415,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
1215,20,0.0,0,0.40530612244897957,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false
1216,20,0.0,0,0.2577409507195813,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false
1345,20,0.0,0,0.8707018485099741,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
1221,20,0.0,0,0.19163292847503374,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
70,20,0.0,0,0.12288302481291848,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false
1479,20,0.0,0,0.0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1608,20,0.0,0,0.11861520998864926,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
972,20,0.0,0,0.4352904692991524,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true
