uf20-01000 73 -1 2 -3 4 5 -6 7 -8 9 -10 -11 -12 -13 -14 -15 16 17 18 19 -20 0 
uf20-0102 67 1 2 -3 4 -5 6 7 8 9 10 -11 12 13 14 15 -16 -17 -18 19 -20 0 
uf20-0107 80 -1 2 3 4 -5 -6 7 8 9 10 -11 12 13 -14 15 -16 17 18 19 20 0 
uf20-0108 75 1 -2 3 4 -5 -6 7 8 9 10 11 -12 13 -14 15 -16 -17 18 19 -20 0 
uf20-0110 69 1 -2 3 4 5 6 7 8 9 -10 11 -12 13 14 15 16 17 18 19 -20 0 
uf20-0114 68 -1 2 3 4 5 6 -7 -8 9 -10 -11 -12 13 14 15 16 -17 18 19 20 0 
uf20-0116 71 1 2 3 4 -5 6 7 8 -9 -10 -11 -12 13 14 -15 -16 17 -18 19 20 0 
uf20-0120 80 1 2 -3 4 5 6 7 8 -9 10 11 -12 -13 -14 -15 16 17 18 -19 -20 0 
uf20-0120 80 1 -2 -3 4 5 6 7 8 -9 10 11 -12 -13 -14 -15 16 17 18 19 -20 0 
uf20-0125 83 -1 2 -3 4 5 6 7 8 -9 10 11 12 -13 14 -15 16 17 18 19 20 0 
uf20-0129 73 1 -2 3 4 -5 6 -7 8 9 10 -11 -12 -13 -14 -15 -16 17 18 19 20 0 
uf20-0130 71 1 -2 3 -4 5 6 7 -8 9 10 -11 12 -13 -14 -15 16 -17 18 19 -20 0 
uf20-0140 90 1 2 3 -4 5 -6 7 8 9 -10 -11 12 13 -14 -15 16 17 18 -19 -20 0 
uf20-0146 48 -1 2 -3 4 -5 6 7 8 -9 -10 -11 12 13 -14 15 16 -17 18 19 -20 0 
uf20-014 75 1 -2 -3 -4 5 6 7 8 -9 10 11 -12 13 -14 15 16 17 18 -19 -20 0 
uf20-0151 91 1 2 3 4 -5 6 7 8 -9 10 11 12 13 -14 -15 16 17 18 -19 20 0 
uf20-0158 61 1 2 -3 4 5 6 7 8 9 10 -11 12 -13 14 -15 -16 17 -18 19 20 0 
uf20-0159 54 1 2 -3 -4 -5 6 -7 8 9 -10 11 12 13 14 15 16 17 -18 -19 -20 0 
uf20-0162 70 1 2 -3 4 5 6 -7 8 9 10 11 12 -13 -14 -15 16 17 18 19 -20 0 
uf20-0171 74 -1 2 -3 4 5 6 7 -8 9 10 11 12 13 -14 -15 16 -17 18 -19 20 0 
uf20-0173 41 -1 -2 3 -4 -5 -6 -7 -8 9 10 -11 12 -13 14 -15 16 -17 18 -19 -20 0 
uf20-0177 56 -1 -2 -3 4 -5 6 7 -8 9 -10 11 -12 -13 14 -15 16 17 18 19 20 0 
uf20-0178 45 -1 -2 -3 4 5 -6 7 -8 9 10 11 12 -13 -14 -15 -16 -17 -18 19 20 0 
uf20-0180 93 1 2 3 4 -5 6 7 8 -9 10 11 12 13 -14 -15 -16 17 -18 19 -20 0 
uf20-018 85 -1 2 3 -4 5 -6 -7 8 9 -10 -11 12 13 14 15 16 -17 18 19 20 0 
uf20-0200 78 1 -2 3 -4 5 -6 7 -8 9 -10 -11 -12 13 -14 15 16 17 18 -19 20 0 
uf20-0209 67 1 2 3 -4 -5 -6 7 -8 9 -10 11 12 13 14 -15 -16 -17 18 19 -20 0 
uf20-0211 76 1 -2 3 -4 -5 6 7 8 9 -10 -11 -12 13 -14 -15 16 -17 18 -19 20 0 
uf20-0221 110 -1 2 3 4 5 6 -7 8 9 10 11 12 13 14 -15 16 -17 -18 19 20 0 
uf20-0224 58 -1 2 -3 -4 5 6 7 -8 -9 -10 -11 12 -13 -14 15 -16 -17 -18 19 20 0 
uf20-0229 69 -1 2 3 4 5 6 7 8 9 -10 -11 12 -13 14 15 -16 17 18 -19 20 0 
uf20-0231 78 -1 -2 3 4 5 6 -7 8 9 -10 11 12 -13 14 -15 16 17 -18 19 20 0 
uf20-0234 58 1 -2 -3 4 5 6 7 -8 9 10 -11 12 -13 -14 15 16 17 18 -19 -20 0 
uf20-023 64 1 -2 3 4 -5 6 7 -8 9 10 -11 -12 13 -14 -15 16 -17 -18 19 20 0 
uf20-0246 59 1 2 -3 4 5 -6 -7 -8 9 -10 -11 -12 13 -14 -15 16 17 18 19 20 0 
uf20-0247 112 1 -2 3 -4 5 -6 7 -8 -9 10 -11 12 13 14 15 16 17 18 -19 20 0 
uf20-0254 63 -1 -2 3 4 -5 -6 7 8 9 10 -11 -12 -13 14 15 16 -17 -18 -19 20 0 
uf20-0261 73 1 -2 3 4 5 -6 -7 8 -9 10 11 -12 13 -14 15 -16 17 -18 -19 -20 0 
uf20-0268 95 -1 2 3 4 -5 6 7 8 9 -10 11 12 -13 -14 15 16 17 -18 19 20 0 
uf20-026 47 1 2 3 -4 -5 -6 -7 -8 -9 10 11 -12 -13 14 -15 -16 17 18 -19 -20 0 
uf20-0271 22 -1 -2 -3 4 -5 6 7 8 -9 10 -11 12 -13 -14 15 -16 -17 -18 -19 -20 0 
uf20-0272 71 1 -2 -3 4 -5 6 7 -8 -9 10 11 12 13 14 -15 16 17 -18 19 20 0 
uf20-0284 80 1 2 3 -4 -5 6 -7 -8 9 10 -11 -12 13 -14 15 16 -17 18 19 -20 0 
uf20-0290 59 -1 2 -3 -4 -5 6 -7 8 -9 10 11 12 -13 14 -15 16 -17 18 19 20 0 
uf20-0293 74 -1 2 3 4 5 6 -7 8 9 -10 11 -12 -13 14 -15 16 17 -18 19 20 0 
uf20-0299 56 1 -2 3 4 -5 6 -7 8 -9 -10 11 -12 -13 14 -15 -16 -17 18 -19 20 0 
uf20-0305 55 1 2 3 -4 -5 -6 7 8 -9 10 11 -12 13 -14 15 16 17 -18 -19 20 0 
uf20-0306 35 1 2 -3 -4 -5 -6 -7 -8 9 10 -11 -12 -13 -14 15 16 17 -18 -19 -20 0 
uf20-030 93 1 2 -3 4 -5 6 7 8 9 10 -11 -12 13 -14 15 16 17 -18 19 20 0 
uf20-0312 58 -1 -2 -3 -4 5 -6 -7 -8 9 10 11 -12 -13 14 -15 16 17 -18 -19 -20 0 
uf20-0316 35 1 2 3 -4 -5 -6 -7 8 -9 10 -11 -12 -13 14 -15 16 -17 18 19 -20 0 
uf20-0320 50 1 2 -3 -4 5 -6 7 -8 9 10 11 -12 -13 -14 15 16 17 -18 -19 -20 0 
